,0
0,a
1,a few
2,a little
3,a lot
4,A.M.
5,able
6,about
7,above
8,abroad
9,across
10,act
11,action
12,actor
13,actress
14,actually
15,afraid
16,after
17,afternoon
18,again
19,age
20,ago
21,agree
22,ahead
23,air
24,airplane
25,airport
26,all
27,allow
28,almost
29,along
30,already
31,also
32,although
33,always
34,am
35,America
36,American
37,an
38,and
39,angle
40,angry
41,animal
42,another
43,answer
44,ant
45,any
46,anybody
47,anyone
48,anything
49,apartment
50,appear
51,apple
52,April
53,are
54,area
55,arm
56,around
57,arrive
58,art
59,as
60,ask
61,at
62,attack
63,August
64,aunt
65,autumn
66,away
67,absent
68,accept
69,accident
70,active
71,activity
72,add
73,address
74,admire
75,adult
76,advertisement
77,advice
78,advise
79,affect
80,against
81,aim
82,air conditioner
83,airlines
84,alarm
85,album
86,alike
87,alive
88,alone
89,aloud
90,alphabet
91,altogether
92,ambulance
93,among
94,amount
95,ancient
96,angel
97,anger
98,ankle
99,anywhere
100,apologize
101,appreciate
102,argue
103,armchair
104,army
105,arrange
106,artist
107,asleep
108,assistant
109,assume
110,attention
111,available
112,avoid
113,baby
114,back
115,bad
116,badminton
117,bag
118,bake
119,bakery
120,balcony
121,banana
122,band
123,bank
124,baseball
125,basket
126,basketball
127,bat
128,bath
129,bathroom
130,be
131,beach
132,bean
133,bear
134,beautiful
135,because
136,become
137,bed
138,bedroom
139,bee
140,beef
141,before
142,begin
143,behind
144,believe
145,bell
146,belong
147,below
148,belt
149,bench
150,beside
151,between
152,bicycle
153,big
154,bike
155,bird
156,birthday
157,bite
158,black
159,blackboard
160,blank
161,blanket
162,blind
163,block
164,blow
165,blue
166,boat
167,body
168,boil
169,book
170,bookstore
171,bored
172,boring
173,born
174,borrow
175,boss
176,both
177,bottle
178,bottom
179,bow
180,bowl
181,box
182,boy
183,brave
184,bread
185,break
186,breakfast
187,bridge
188,bright
189,bring
190,brother
191,brown
192,brush
193,bug
194,build
195,bun
196,burger
197,burn
198,bus
199,business
200,businessman
201,busy
202,but
203,butter
204,butterfly
205,button
206,buy
207,by
208,bye
209,baby sitter
210,backpack
211,backward
212,ball
213,balloon
214,barbecue
215,barber
216,bark
217,base
218,basement
219,basic
220,bathe
221,beard
222,beat
223,beauty
224,beer
225,beginner
226,beginning
227,behave
228,besides
229,beyond
230,bill
231,biology
232,bitter
233,blame
234,bless
235,blood
236,blouse
237,board
238,bomb
239,bone
240,bookcase
241,bother
242,bowling
243,branch
244,brick
245,broad
246,broadcast
247,brunch
248,bucket
249,buffet
250,building
251,bundle
252,burst
253,cake
254,call
255,camera
256,camp
257,can
258,candle
259,candy
260,cap
261,car
262,card
263,care
264,careful
265,carry
266,case
267,castle
268,cat
269,catch
270,celebrate
271,cellphone
272,cent
273,center
274,centimeter
275,chair
276,chalk
277,chance
278,change
279,cheap
280,cheat
281,check
282,cheer
283,cheese
284,chicken
285,child
286,China
287,Chinese
288,chocolate
289,choice
290,choose
291,chopsticks
292,Christmas
293,church
294,circle
295,city
296,clap
297,class
298,classmate
299,classroom
300,clean
301,clear
302,clerk
303,climb
304,clock
305,close
306,clothes
307,cloud
308,cloudy
309,club
310,coat
311,coffee
312,cold
313,collect
314,color
315,comb
316,come
317,comfortable
318,comic
319,common
320,computer
321,convenient
322,cook
323,cookie
324,cool
325,copy
326,corner
327,correct
328,cost
329,couch
330,could
331,count
332,country
333,course
334,cousin
335,cover
336,cow
337,crazy
338,cross
339,cry
340,cup
341,cut
342,cute
343,cabbage
344,cable
345,cafeteria
346,cage
347,calendar
348,calm
349,campus
350,cancel
351,cancer
352,captain
353,careless
354,carpet
355,carrot
356,cartoon
357,cash
358,cause
359,ceiling
360,central
361,century
362,cereal
363,certain
364,channel
365,character
366,charge
367,chart
368,chase
369,chemistry
370,chess
371,childhood
372,childish
373,childlike
374,chin
375,chubby
376,classical
377,clever
378,climate
379,closet
380,coach
381,coast
382,cockroach
383,coin
384,cola
385,college
386,colorful
387,command
388,comment
389,company
390,compare
391,complain
392,complete
393,concern
394,confident
395,confuse
396,congratulation
397,consider
398,considerate
399,contact lens
400,continue
401,contract
402,control
403,convenience store
404,conversation
405,corn
406,cotton
407,cough
408,couple
409,courage
410,court
411,cowboy
412,crab
413,crayon
414,cream
415,create
416,credit card
417,crime
418,crowd
419,crowded
420,cruel
421,culture
422,cure
423,curious
424,current
425,curtain
426,curve
427,custom
428,customer
429,dad
430,daddy
431,dance
432,dangerous
433,dark
434,date
435,daughter
436,day
437,dead
438,deal
439,dear
440,death
441,December
442,decide
443,deep
444,define
445,delicious
446,dentist
447,department store
448,desk
449,dictionary
450,die
451,different
452,difficult
453,dig
454,dining room
455,dinner
456,dirty
457,dish
458,do
459,doctor
460,dog
461,doll
462,dollar
463,door
464,dot
465,down
466,download
467,dozen
468,Dr.
469,draw
470,drawer
471,dream
472,dress
473,drink
474,drive
475,driver
476,drop
477,drum
478,dry
479,duck
480,during
481,daily
482,damage
483,danger
484,dawn
485,deaf
486,debate
487,decision
488,decorate
489,decrease
490,deer
491,degree
492,deliver
493,department
494,depend
495,describe
496,desert
497,design
498,desire
499,dessert
500,detect
501,develop
502,dial
503,diamond
504,diary
505,diet
506,difference
507,difficulty
508,diligent
509,dinosaur
510,diplomat
511,direct
512,direction
513,disappear
514,discover
515,discuss
516,discussion
517,dishonest
518,distance
519,distant
520,divide
521,dizzy
522,dodge ball
523,dolphin
524,donkey
525,double
526,doubt
527,doughnut
528,downstairs
529,downtown
530,dragon
531,drama
532,dresser
533,drugstore
534,dryer
535,dumb
536,dumpling
537,duty
538,each
539,ear
540,early
541,earth
542,earthquake
543,east
544,Easter
545,easy
546,eat
547,egg
548,eight
549,eighteen
550,eighty
551,either
552,elementary school
553,elephant
554,eleven
555,else
556,e-mail
557,end
558,engineer
559,English
560,enjoy
561,enough
562,enter
563,envelope
564,eraser
565,error
566,eve
567,even
568,evening
569,ever
570,every
571,everybody
572,everyone
573,everything
574,example
575,excellent
576,except
577,excited
578,exciting
579,excuse
580,exercise
581,expect
582,expensive
583,experience
584,explain
585,eye
586,eagle
587,earn
588,earrings
589,ease
590,edge
591,education
592,effort
593,elder
594,elect
595,electric
596,embarrass
597,emotion
598,emphasize
599,employ
600,empty
601,enemy
602,energetic
603,energy
604,engine
605,entrance
606,environment
607,envy
608,equal
609,especially
610,event
611,everywhere
612,evil
613,exam
614,excite
615,exist
616,exit
617,express
618,extra
619,face
620,fact
621,factory
622,fail
623,fall
624,false
625,family
626,famous
627,fan
628,far
629,farm
630,farmer
631,fast
632,fat
633,father
634,favorite
635,February
636,feed
637,feel
638,festival
639,fever
640,few
641,fifteen
642,fifty
643,fight
644,file
645,fill
646,finally
647,find
648,fine
649,finger
650,finish
651,fire
652,first
653,fish
654,fisherman
655,five
656,fix
657,floor
658,flower
659,fly
660,follow
661,food
662,fool
663,foot
664,for
665,foreign
666,foreigner
667,forget
668,fork
669,forty
670,four
671,fourteen
672,fox
673,free
674,French fries
675,fresh
676,Friday
677,fridge
678,friend
679,friendly
680,fries
681,frog
682,from
683,front
684,fruit
685,fry
686,full
687,fun
688,funny
689,future
690,fair
691,fancy
692,fantastic
693,fashionable
694,faucet
695,fault
696,fear
697,fee
698,feeling
699,female
700,fence
701,film
702,final
703,fit
704,flag
705,flashlight
706,flat tire
707,flight
708,flour
709,flu
710,flute
711,focus
712,fog
713,foggy
714,foolish
715,football
716,forest
717,forgive
718,form
719,formal
720,former
721,forward
722,frank
723,freedom
724,freezer
725,freezing
726,friendship
727,frighten
728,frisbee
729,furniture
730,game
731,garbage
732,garden
733,gas
734,gate
735,get
736,ghost
737,giant
738,gift
739,girl
740,give
741,glad
742,glass
743,glasses
744,glove
745,glue
746,go
747,goat
748,god
749,good
750,goodbye
751,good-bye
752,goose
753,grade
754,gram
755,grandfather
756,grandma
757,grandmother
758,grandpa
759,grape
760,grass
761,gray
762,great
763,green
764,ground
765,group
766,grow
767,guava
768,guess
769,guitar
770,guy
771,gym
772,gain
773,garage
774,gather
775,general
776,generous
777,genius
778,gentle
779,gentleman
780,geography
781,gesture
782,goal
783,gold
784,golden
785,golf
786,goodness
787,government
788,granddaughter
789,grandson
790,greedy
791,greet
792,guard
793,guest
794,guide
795,gun
796,habit
797,hair
798,half
799,Halloween
800,ham
801,hamburger
802,hand
803,handsome
804,hang
805,happen
806,happy
807,hard
808,hard-working
809,hat
810,hate
811,have
812,he
813,head
814,headache
815,health
816,healthy
817,hear
818,heart
819,heat
820,heavy
821,height
822,hello
823,help
824,helpful
825,hen
826,her
827,here
828,hers
829,herself
830,hey
831,hi
832,hide
833,high
834,hike
835,hill
836,him
837,himself
838,his
839,history
840,hit
841,hobby
842,hold
843,holiday
844,home
845,homework
846,honest
847,honey
848,hope
849,horse
850,hospital
851,hot
852,hot dog
853,hotel
854,hour
855,house
856,housewife
857,how
858,however
859,hundred
860,hungry
861,hunt
862,hurry
863,hurt
864,husband
865,haircut
866,hall
867,hammer
868,handkerchief
869,handle
870,hanger
871,hardly
872,heater
873,helicopter
874,hero
875,highway
876,hip
877,hippo
878,hire
879,hole
880,homesick
881,honesty
882,hop
883,horrible
884,host
885,housework
886,hug
887,human
888,humble
889,humid
890,humor
891,humorous
892,hunger
893,hunter
894,I
895,ice
896,ice cream
897,idea
898,if
899,important
900,in
901,inch
902,insect
903,inside
904,interest
905,interested
906,interesting
907,Internet
908,interview
909,into
910,invite
911,is
912,island
913,it
914,item
915,its
916,itself
917,ignore
918,ill
919,imagine
920,impolite
921,importance
922,impossible
923,improve
924,include
925,income
926,increase
927,independent
928,indicate
929,influence
930,information
931,ink
932,insist
933,inspire
934,instant
935,instrument
936,intelligent
937,international
938,interrupt
939,introduce
940,invent
941,invitation
942,iron
943,jacket
944,January
945,jeans
946,job
947,jog
948,join
949,joke
950,joy
951,juice
952,July
953,jump
954,June
955,junior high school
956,just
957,jam
958,jazz
959,jealous
960,jeep
961,journalist
962,judge
963,keep
964,key
965,kick
966,kid
967,kill
968,kilogram
969,kind
970,king
971,kiss
972,kitchen
973,kite
974,knee
975,knife
976,knock
977,know
978,knowledge
979,kangaroo
980,ketchup
981,kilometer
982,kindergarten
983,kingdom
984,kitten
985,koala
986,lake
987,lamp
988,land
989,language
990,large
991,last
992,late
993,later
994,laugh
995,lawyer
996,lazy
997,lead
998,leader
999,learn
1000,least
1001,leave
1002,left
1003,leg
1004,lemon
1005,lend
1006,less
1007,lesson
1008,let
1009,letter
1010,level
1011,library
1012,lie
1013,life
1014,light
1015,like
1016,line
1017,lion
1018,lip
1019,list
1020,listen
1021,little
1022,live
1023,living room
1024,lonely
1025,long
1026,look
1027,lose
1028,loud
1029,love
1030,lovely
1031,low
1032,lucky
1033,lunch
1034,lack
1035,lady
1036,lamb
1037,lantern
1038,latest
1039,latter
1040,law
1041,lay
1042,leaf
1043,lettuce
1044,lick
1045,lid
1046,lift
1047,lightning
1048,likely
1049,limit
1050,link
1051,liquid
1052,liter
1053,loaf
1054,local
1055,lock
1056,locker
1057,loser
1058,machine
1059,mad
1060,magic
1061,mail
1062,mailman
1063,main
1064,make
1065,man
1066,many
1067,map
1068,march
1069,mark
1070,marker
1071,market
1072,married
1073,mask
1074,math
1075,mathematics
1076,matter
1077,may
1078,maybe
1079,me
1080,meal
1081,mean
1082,meat
1083,medicine
1084,medium
1085,meet
1086,meeting
1087,member
1088,menu
1089,metro
1090,middle
1091,might
1092,mile
1093,milk
1094,million
1095,mind
1096,mine
1097,minute
1098,miss
1099,mistake
1100,modern
1101,mom
1102,moment
1103,mommy
1104,Monday
1105,money
1106,monkey
1107,month
1108,moon
1109,mop
1110,more
1111,morning
1112,most
1113,mother
1114,motorcycle
1115,mountain
1116,mouse
1117,mouth
1118,move
1119,movie
1120,Mr.
1121,Mrs.
1122,Ms.
1123,much
1124,mud
1125,museum
1126,music
1127,must
1128,my
1129,myself
1130,ma'am
1131,magazine
1132,magician
1133,major
1134,male
1135,mall
1136,manager
1137,mango
1138,manner
1139,marry
1140,marvelous
1141,mass
1142,master
1143,mat
1144,match
1145,maximum
1146,meaning
1147,measure
1148,mechanic
1149,memory
1150,men's room
1151,message
1152,metal
1153,meter
1154,method
1155,microwave
1156,midnight
1157,minor
1158,minus
1159,mirror
1160,mix
1161,model
1162,monster
1163,mosquito
1164,motion
1165,movement
1166,MRT
1167,musician
1168,nail
1169,name
1170,national
1171,nature
1172,near
1173,neck
1174,need
1175,neighbor
1176,never
1177,new
1178,news
1179,newspaper
1180,next
1181,nice
1182,night
1183,nine
1184,nineteen
1185,ninety
1186,no
1187,nobody
1188,noise
1189,noisy
1190,noodle
1191,noon
1192,north
1193,nose
1194,not
1195,note
1196,notebook
1197,nothing
1198,notice
1199,November
1200,now
1201,number
1202,nurse
1203,napkin
1204,narrow
1205,nation
1206,natural
1207,naughty
1208,nearly
1209,necessary
1210,necklace
1211,needle
1212,negative
1213,neither
1214,nephew
1215,nervous
1216,nest
1217,net
1218,nice-looking
1219,niece
1220,nod
1221,none
1222,nor
1223,novel
1224,nut
1225,o'clock
1226,October
1227,of
1228,off
1229,office
1230,officer
1231,often
1232,oil
1233,OK
1234,old
1235,on
1236,once
1237,one
1238,only
1239,open
1240,or
1241,orange
1242,order
1243,other
1244,our
1245,ours
1246,ourselves
1247,out
1248,outside
1249,over
1250,own
1251,obey
1252,object
1253,ocean
1254,offer
1255,omit
1256,oneself
1257,onion
1258,operation
1259,opinion
1260,ordinary
1261,oven
1262,overpass
1263,overseas
1264,owner
1265,ox
1266,p.m.
1267,pack
1268,package
1269,page
1270,paint
1271,pair
1272,pants
1273,papaya
1274,paper
1275,parent
1276,park
1277,part
1278,party
1279,pass
1280,past
1281,paste
1282,pay
1283,PE
1284,peach
1285,pear
1286,pen
1287,pencil
1288,people
1289,perhaps
1290,person
1291,pet
1292,phone
1293,photo
1294,physical education
1295,piano
1296,pick
1297,picnic
1298,picture
1299,pie
1300,piece
1301,pig
1302,pin
1303,pink
1304,pipe
1305,pizza
1306,place
1307,plan
1308,plane
1309,planet
1310,plant
1311,plate
1312,play
1313,player
1314,playground
1315,please
1316,pleasure
1317,pocket
1318,point
1319,police
1320,polite
1321,pond
1322,pool
1323,poor
1324,pop
1325,popcorn
1326,popular
1327,pork
1328,possible
1329,post office
1330,postcard
1331,pot
1332,pound
1333,power
1334,practice
1335,pray
1336,prepare
1337,present
1338,pretty
1339,price
1340,prize
1341,probably
1342,problem
1343,program
1344,proud
1345,public
1346,pull
1347,pumpkin
1348,puppy
1349,purple
1350,push
1351,put
1352,pain
1353,painful
1354,painter
1355,pajamas
1356,pale
1357,pan
1358,panda
1359,pardon
1360,parking lot
1361,parrot
1362,partner
1363,passenger
1364,path
1365,patient
1366,pattern
1367,pause
1368,peace
1369,peaceful
1370,pepper
1371,perfect
1372,period
1373,personal
1374,physics
1375,pigeon
1376,pile
1377,pillow
1378,pineapple
1379,plain
1380,platform
1381,pleasant
1382,pleased
1383,plus
1384,poem
1385,poison
1386,pollute
1387,pollution
1388,pop music
1389,population
1390,position
1391,positive
1392,potato
1393,powder
1394,praise
1395,precious
1396,president
1397,pressure
1398,priest
1399,primary
1400,prince
1401,princess
1402,principal
1403,principle
1404,print
1405,printer
1406,private
1407,produce
1408,production
1409,professor
1410,progress
1411,project
1412,promise
1413,pronounce
1414,protect
1415,provide
1416,pump
1417,punish
1418,purpose
1419,purse
1420,puzzle
1421,quarter
1422,queen
1423,question
1424,quick
1425,quiet
1426,quite
1427,quiz
1428,quit
1429,R.O.C.
1430,rabbit
1431,race
1432,radio
1433,rain
1434,rainbow
1435,rainy
1436,raise
1437,rat
1438,reach
1439,read
1440,ready
1441,real
1442,really
1443,reason
1444,red
1445,refrigerator
1446,relative
1447,remember
1448,repeat
1449,report
1450,reporter
1451,rest
1452,restaurant
1453,restroom
1454,rice
1455,rich
1456,ride
1457,right
1458,ring
1459,rise
1460,river
1461,road
1462,robot
1463,ROC
1464,rock
1465,roll
1466,room
1467,root
1468,rope
1469,rose
1470,round
1471,row
1472,rule
1473,ruler
1474,run
1475,railroad
1476,railway
1477,raincoat
1478,rare
1479,rather
1480,realize
1481,receive
1482,record
1483,recover
1484,rectangle
1485,recycle
1486,refuse
1487,regret
1488,regular
1489,reject
1490,remind
1491,rent
1492,repair
1493,respect
1494,responsible
1495,result
1496,return
1497,review
1498,revise
1499,rob
1500,role
1501,roller
1502,roof
1503,rub
1504,rubber
1505,rude
1506,ruin
1507,rush
1508,sad
1509,safe
1510,sail
1511,salad
1512,sale
1513,salesman
1514,salt
1515,same
1516,sandwich
1517,Saturday
1518,save
1519,say
1520,scared
1521,school
1522,science
1523,scooter
1524,screen
1525,sea
1526,season
1527,seat
1528,second
1529,secretary
1530,see
1531,seed
1532,seesaw
1533,seldom
1534,sell
1535,send
1536,senior high school
1537,sentence
1538,September
1539,serious
1540,service
1541,set
1542,seven
1543,seventeen
1544,seventy
1545,several
1546,shake
1547,shape
1548,share
1549,sharp
1550,she
1551,sheep
1552,shine
1553,ship
1554,shirt
1555,shoe
1556,shop
1557,shopkeeper
1558,short
1559,shorts
1560,should
1561,shoulder
1562,shout
1563,show
1564,shower
1565,shy
1566,sick
1567,side
1568,sidewalk
1569,sight
1570,sign
1571,simple
1572,since
1573,sing
1574,singer
1575,sir
1576,sister
1577,sit
1578,six
1579,sixteen
1580,sixty
1581,size
1582,skirt
1583,sky
1584,sleep
1585,slide
1586,slim
1587,slow
1588,small
1589,smart
1590,smell
1591,smile
1592,smoke
1593,snack
1594,snake
1595,snow
1596,snowy
1597,so
1598,soccer
1599,socks
1600,sofa
1601,soldier
1602,some
1603,somebody
1604,someone
1605,something
1606,sometimes
1607,somewhere
1608,son
1609,song
1610,soon
1611,sore
1612,sorry
1613,sound
1614,soup
1615,south
1616,space
1617,speak
1618,special
1619,spell
1620,spend
1621,spider
1622,spoon
1623,sports
1624,spring
1625,square
1626,stairs
1627,stamp
1628,stand
1629,star
1630,start
1631,station
1632,stay
1633,steak
1634,still
1635,stomach
1636,stop
1637,store
1638,story
1639,straight
1640,strange
1641,stranger
1642,strawberry
1643,street
1644,string
1645,strong
1646,student
1647,study
1648,stupid
1649,subject
1650,successful
1651,sugar
1652,summer
1653,sun
1654,Sunday
1655,sunny
1656,supermarket
1657,sure
1658,surf
1659,surprise
1660,surprised
1661,sweater
1662,sweet
1663,swim
1664,swing
1665,safety
1666,sailor
1667,sample
1668,sand
1669,satisfy
1670,saucer
1671,scarf
1672,scene
1673,scenery
1674,scientist
1675,score
1676,seafood
1677,search
1678,secondary
1679,secret
1680,section
1681,seek
1682,seem
1683,select
1684,selfish
1685,semester
1686,sense
1687,servant
1688,serve
1689,shall
1690,shark
1691,sheet
1692,shelf
1693,shoot
1694,shore
1695,shrimp
1696,shut
1697,silence
1698,silent
1699,silly
1700,silver
1701,similar
1702,sincere
1703,single
1704,sink
1705,skate
1706,ski
1707,skill
1708,skillful
1709,skin
1710,skinny
1711,sleepy
1712,slender
1713,slice
1714,slippers
1715,snail
1716,sneakers
1717,sneaky
1718,snowman
1719,soap
1720,social
1721,society
1722,soda
1723,soft drink
1724,softball
1725,solve
1726,soul
1727,sour
1728,soy-sauce
1729,spaghetti
1730,speaker
1731,speech
1732,speed
1733,spirit
1734,spot
1735,spread
1736,state
1737,stationery
1738,steal
1739,steam
1740,step
1741,stingy
1742,stomachache
1743,stone
1744,storm
1745,stormy
1746,stove
1747,straw
1748,stream
1749,strike
1750,style
1751,subway
1752,succeed
1753,success
1754,such
1755,sudden
1756,suggest
1757,suit
1758,super
1759,supper
1760,support
1761,survive
1762,swallow
1763,swan
1764,sweep
1765,swimsuit
1766,symbol
1767,system
1768,table
1769,tail
1770,Taiwan
1771,take
1772,talk
1773,tall
1774,tape
1775,taste
1776,taxi
1777,tea
1778,teach
1779,teacher
1780,team
1781,teenager
1782,telephone
1783,television
1784,tell
1785,temple
1786,ten
1787,tennis
1788,terrible
1789,test
1790,than
1791,thank
1792,that
1793,the
1794,theater
1795,their
1796,theirs
1797,them
1798,themselves
1799,then
1800,there
1801,these
1802,they
1803,thick
1804,thin
1805,thing
1806,think
1807,third
1808,thirsty
1809,thirteen
1810,thirty
1811,this
1812,those
1813,though
1814,thousand
1815,three
1816,throat
1817,through
1818,throw
1819,Thursday
1820,ticket
1821,tidy
1822,tie
1823,tiger
1824,time
1825,tip
1826,tired
1827,to
1828,toast
1829,today
1830,toe
1831,together
1832,tomato
1833,tomorrow
1834,tonight
1835,too
1836,tool
1837,tooth
1838,top
1839,topic
1840,total
1841,touch
1842,towel
1843,town
1844,toy
1845,traffic
1846,train
1847,trash
1848,treat
1849,tree
1850,trick
1851,trip
1852,trouble
1853,truck
1854,true
1855,try
1856,T-shirt
1857,Tuesday
1858,turn
1859,turtle
1860,TV
1861,twelve
1862,twenty
1863,twice
1864,two
1865,type
1866,typhoon
1867,table tennis
1868,talent
1869,talkative
1870,tangerine
1871,tank
1872,teapot
1873,tear
1874,temperature
1875,tent
1876,term
1877,terrific
1878,textbook
1879,therefore
1880,thief
1881,thought
1882,thumb
1883,thunder
1884,till
1885,tiny
1886,title
1887,tofu
1888,toilet
1889,tongue
1890,toothache
1891,toothbrush
1892,toward
1893,tower
1894,trace
1895,trade
1896,tradition
1897,traditional
1898,trap
1899,travel
1900,treasure
1901,triangle
1902,trousers
1903,trumpet
1904,trust
1905,truth
1906,tub
1907,tube
1908,tunnel
1909,turkey
1910,U.S.A.
1911,ugly
1912,umbrella
1913,uncle
1914,under
1915,understand
1916,unhappy
1917,uniform
1918,until
1919,up
1920,upload
1921,us
1922,USA
1923,use
1924,useful
1925,usually
1926,underline
1927,underpass
1928,underwear
1929,unique
1930,universe
1931,university
1932,upon
1933,upper
1934,upstairs
1935,usual
1936,vacation
1937,vegetable
1938,very
1939,video
1940,violin
1941,visit
1942,visitor
1943,voice
1944,valley
1945,valuable
1946,value
1947,vendor
1948,vest
1949,victory
1950,village
1951,vinegar
1952,vocabulary
1953,volleyball
1954,vote
1955,wait
1956,waiter
1957,waitress
1958,wake
1959,walk
1960,wall
1961,wallet
1962,want
1963,warm
1964,wash
1965,watch
1966,water
1967,watermelon
1968,wave
1969,way
1970,we
1971,weak
1972,wear
1973,weather
1974,Wednesday
1975,week
1976,weekend
1977,welcome
1978,well
1979,west
1980,wet
1981,what
1982,when
1983,where
1984,whether
1985,which
1986,while
1987,white
1988,who
1989,whose
1990,why
1991,wide
1992,wife
1993,will
1994,win
1995,wind
1996,window
1997,windy
1998,winter
1999,wise
2000,wish
2001,with
2002,without
2003,woman
2004,wonderful
2005,word
2006,work
2007,workbook
2008,worker
2009,world
2010,worry
2011,would
2012,write
2013,writer
2014,wrong
2015,waist
2016,war
2017,waste
2018,waterfall
2019,wedding
2020,weekday
2021,weight
2022,whale
2023,wheel
2024,whole
2025,wild
2026,wing
2027,winner
2028,wok
2029,wolf
2030,women's room
2031,wood
2032,woods
2033,worm
2034,wound
2035,wrist
2036,yard
2037,yeah
2038,year
2039,yellow
2040,yes
2041,yesterday
2042,yet
2043,you
2044,young
2045,your
2046,yours
2047,yourself
2048,yourselves
2049,yummy
2050,yell
2051,youth
2052,zebra
2053,zero
2054,zoo
